title,release_year,runtime,imdb_score,type_SHOW,is_high_rated
Taxi Driver,1976,113,8.3,False,1
Monty Python and the Holy Grail,1975,91,8.199999999999998,False,1
Life of Brian,1979,94,8.0,False,1
The Exorcist,1973,133,8.1,False,1
Monty Python's Flying Circus,1969,30,8.8,True,1
Dirty Harry,1971,102,7.7,False,1
My Fair Lady,1964,170,7.8,False,1
The Blue Lagoon,1980,104,5.8,False,0
Bonnie and Clyde,1967,110,7.7,False,1
The Professionals,1966,117,7.3,False,1
The Guns of Navarone,1961,158,7.5,False,1
Lupin the Third: The Castle of Cagliostro,1979,100,7.6,False,1
Richard Pryor: Live in Concert,1979,78,8.1,False,1
The Long Riders,1980,99,6.9,False,0
White Christmas,1954,115,7.5,False,1
Cairo Station,1958,77,7.5,False,1
The Queen,1968,68,7.2,False,1
Hitler: A Career,1977,150,7.5,False,1
FTA,1972,97,6.2,False,0
Saladin the Victorious,1963,186,7.6,False,1
Singapore,1960,158,6.4,False,0
Dark Waters,1956,120,6.7,False,0
Alexandriaâ€¦ Why?,1979,133,7.2,False,1
Raya and Sakina,1953,105,6.8,False,0
No Longer Kids,1979,235,9.0,False,1
Amrapali,1966,120,6.7,False,0
Dostana,1980,161,2.1,False,0
The Blazing Sun,1954,100,7.4,False,1
Monty Python's Fliegender Zirkus,1972,43,8.1,True,1
The Return of the Prodigal Son,1976,124,7.2,False,1
Prince,1969,152,6.9,False,0
Manoranjan,1974,162,6.5,False,0
"Beirut, Oh Beirut",1975,110,6.5,False,0
We Are All for the Fatherland,1979,74,6.2,False,0
Whispers,1980,93,7.8,False,1
Lal Patthar,1971,153,6.2,False,0
Ujala,1959,142,6.7,False,0
Alibaba Aur 40 Chor,1979,138,6.2,False,0
Professor,1962,163,6.8,False,0
Chadi Jawani Budhe Nu,1976,135,4.6,False,0
Bandie,1978,141,4.2,False,0
Khoon Khoon,1973,131,5.1,False,0
Top Gun,1986,110,6.9,False,0
Seinfeld,1989,24,8.9,True,1
Stand by Me,1986,89,8.1,False,1
Once Upon a Time in America,1984,229,8.3,False,1
When Harry Met Sally...,1989,96,7.7,False,1
Teenage Mutant Ninja Turtles,1990,93,6.7,False,0
Full Metal Jacket,1987,116,8.3,False,1
Christine,1983,90,6.7,False,0
A Nightmare on Elm Street,1984,91,7.4,False,1
Knight Rider,1982,51,6.9,True,0
Awakenings,1990,120,7.8,False,1
Thomas & Friends,1984,10,6.5,True,0
Annie,1982,127,6.6,False,0
Pet Sematary,1989,103,6.5,False,0
Saved by the Bell,1989,23,7.1,True,1
She's Gotta Have It,1986,84,6.7,False,0
Eddie Murphy Raw,1987,93,7.6,False,1
Endless Love,1981,116,4.9,False,0
Wheel of Fortune,1983,26,6.7,True,0
Major Dad,1989,24,6.4,True,0
Fireman Sam,1987,10,6.1,True,0
Danger Mouse,1981,15,7.4,True,1
Mobile Suit Gundam II: Soldiers of Sorrow,1981,133,7.2,False,1
Mobile Suit Gundam: Char's Counterattack,1988,120,7.3,False,1
Sam Kinison: Breaking the Rules,1987,50,7.2,False,1
Tim Allen: Men Are Pigs,1990,30,6.0,False,0
Monty Python Live at the Hollywood Bowl,1982,77,7.9,False,1
The George McKenna Story,1988,100,6.0,False,0
Unspeakable Acts,1990,100,6.0,False,0
Waiting for the Hearse,1985,87,8.0,False,1
Mobile Suit Gundam III: Encounters in Space,1982,144,7.7,False,1
Agneepath,1990,174,7.6,False,1
Parrot Sketch Not Included: Twenty Years of Monty Python,1989,72,8.1,False,1
Too Young The Hero,1988,100,6.7,False,0
Adam: His Song Continues,1986,100,7.0,False,1
Disco Dancer,1982,134,6.5,False,0
The Ryan White Story,1989,102,7.2,False,1
In Defense of a Married Man,1990,94,5.6,False,0
Dil,1990,172,6.6,False,0
Bye Bye London,1982,170,8.699999999999998,False,1
Quiet Victory: The Charlie Wedemeyer Story,1988,100,7.1,False,1
"Alexandria, Again and Forever",1989,105,6.5,False,0
Strange Voices,1987,100,6.3,False,0
Aakhri Adaalat,1988,148,5.1,False,0
A Stoning in Fulham County,1988,120,5.8,False,0
Muqaddar Ka Faisla,1987,172,4.8,False,0
Sohni Mahiwal,1984,160,6.1,False,0
The Little Wars,1982,108,6.3,False,0
Duniya,1984,170,6.2,False,0
High Risk,1988,50,3.8,True,0
Pyar Ke Do Pal,1986,153,6.1,False,0
Jaal,1986,159,5.2,False,0
